Contract #,Client,Brand,Vehicle,Placement ID,Placement Description,Buy Component Type,Data Type,Notes
19838-9-135242,AstraZeneca Oncology,AZ One Lung HCP,Matrix Medical Communications - Hot Topics,302197,397819|ONELUNG|LC|MMC|Matrix Medical Communications - Hot Topics|hot topics in nsclc digital issue|DB|WA|E|NA|TL|NA|NA|NA|AW|NA|None|NA|NA|NA|TMRAG|NA|NA,Display- Non Targeted,AGG,Hot Topics in NSCLC Digital Edition Page Views
19838-9-135242,AstraZeneca Oncology,AZ One Lung HCP,Matrix Medical Communications - Hot Topics,302198,397824|ONELUNG|LC|MMC|Matrix Medical Communications - Hot Topics|hot topics in nsclc enl|DB|EM|E|NA|TL|NA|NA|NA|AW|ENL|None|NA|NA|NA|TMRAG|NA|NA,e-Newsletters- Targeted/Programmatic,PLD & AGG,Hot Topics in NSCLC New Issue eNL
19838-9-135242,AstraZeneca Oncology,AZ One Lung HCP,Matrix Medical Communications - Hot Topics,302199,397827|ONELUNG|LC|MMC|Matrix Medical Communications - Hot Topics|added value hot topics triggered email imfinzi|EM|EM|E|NA|TL|NA|NA|NA|AW|NA|None|NA|NA|AV|TMRAG|NA|NA,Email- Re-contact / Trigger,PLD & AGG,Imfinzi Triggered Email
19838-9-135242,AstraZeneca Oncology,AZ One Lung HCP,Matrix Medical Communications - Hot Topics,302200,397829|ONELUNG|LC|MMC|Matrix Medical Communications - Hot Topics|added value hot topics triggered email tagrisso|EM|EM|E|NA|TL|NA|NA|NA|AW|NA|None|NA|NA|AV|TMRAG|NA|NA,Email- Re-contact / Trigger,PLD & AGG,Tagrisso Triggered Email
19838-9-135242,AstraZeneca Oncology,AZ One Lung HCP,Matrix Medical Communications - Hot Topics,303658,403731|ONELUNG|LC|MMC|Matrix Medical Communications - Hot Topics|added value cover 0|DB|WA|E|NA|TL|NA|NA|NA|AW|NA|None|NA|NA|AV|TMRAG|NA|NA,Display- Non Targeted,AGG,Hot Topics in NSCLC Digital Edition Cover 0 Page Views
19273-9-132698,Eli Lilly & Company,Breast Cancer Medical Affairs,Matrix Medical Communications - Custom Email,296678,389004|BRECMA|EBC|MMC|Matrix Medical Communications - Custom Email|Invitation eNewsletter CCG Targets|DB|EM|E|NA|TL|NA|NA|NA|AW|NA|None|NA|NA|NA|NM|NA|NA,e-Newsletters- Targeted/Programmatic,PLD & AGG,Lilly EBC Webinar Invitation eNLs (Target List)
19273-9-132698,Eli Lilly & Company,Breast Cancer Medical Affairs,Matrix Medical Communications - Custom Email,296681,389021|BRECMA|EBC|MMC|Matrix Medical Communications - Custom Email|Invitation eNewsletter Specialty Targets|DB|EM|E|NA|SPT|NA|NA|NA|AW|NA|None|NA|NA|NA|NM|NA|NA,e-Newsletters- Targeted/Programmatic,AGG,Lilly EBC Webinar Invitation eNLs (Unsponsored List)
19273-9-132698,Eli Lilly & Company,Breast Cancer Medical Affairs,Matrix Medical Communications - Custom Email,296683,388991|BRECMA|EBC|MMC|Matrix Medical Communications - Custom Email|Triggered Emails Post Webinar x2|EM|EM|E|NA|TL|SPT|NA|NA|AW|NA|None|NA|NA|NA|NM|NA|NA,Email- Re-contact / Trigger,PLD & AGG,Lilly EBC Post-webinar Triggered Email
19273-9-132698,Eli Lilly & Company,Breast Cancer Medical Affairs,Matrix Medical Communications - Custom Email,296686,389011|BRECMA|EBC|MMC|Matrix Medical Communications - Custom Email|Post Webinar eNLs|DB|EM|E|NA|TL|NA|NA|NA|AW|NA|None|NA|NA|AV|NM|NA|NA,e-Newsletters- Targeted/Programmatic,PLD & AGG,Lilly EBC Post-webinar eNLs
19273-9-132698,Eli Lilly & Company,Breast Cancer Medical Affairs,Matrix Medical Communications - Webinar,296689,389038|BRECMA|EBC|MMC|Matrix Medical Communications - Webinar|OnDemand Enduring Landing Page 12 months|MS|WA|E|NA|TL|SPT|NA|NA|CON|NA|None|NA|NA|AV|NM|NA|NA,Display- Non Targeted,AGG,Lilly EBC Webinar Landing Page Views
19575-9-135552,Bristol-Myers Squibb,Breyanzi FL,Matrix Medical Communications - Custom Email,302798,bre_fl_hcp_custom email_matrix medical_email_email_awr_tgtlist_cpi_Breyanzi FL Custom Emails_NA_403278,Email,PLD & AGG,Breyanzi FL Custom Emails
19574-9-135559,Bristol-Myers Squibb,Breyanzi MCL,Matrix Medical Communications - Custom Email,302815,bre_mcl_hcp_custom email_matrix medical_email_email_awr_tgtlist_cpi_Breyanzi MCL Custom Email_NA_403279,Email,PLD & AGG,Breyanzi MCL Custom Emails
19642-9-131248,"Exelixis, Inc.",Cabometyx NET HCP,Matrix Medical Communications - Expert Perspectives Video Program,293287,388286|CABNET|NEUROTUM|MMC|Matrix Medical Communications - Expert Perspectives Video Program|Expert Perspectives in NET|DB|EM|E|NA|TL|TL|NA|NA|AW|ENL|None|NA|NA|NA|NA|NA|NA,e-Newsletters- Targeted/Programmatic,PLD & AGG,Expert Perspectives in NET Video eNLs
19642-9-131248,"Exelixis, Inc.",Cabometyx NET HCP,Matrix Medical Communications - Expert Perspectives Video Program,293296,388304|CABNET|NEUROTUM|MMC|Matrix Medical Communications - Expert Perspectives Video Program|Expert Perspectives Custom Email|EM|EM|E|NA|TL|TL|NA|NA|AW|OTHER|None|NA|NA|AV|NA|NA|NA,Email,PLD & AGG,Cabometyx NET Custom Emails
