Contract #,Client,Brand,Vehicle,Placement ID,Placement Description,Buy Component Type,Data Type,Frequency,Contracted Metric,Notes
20308-9-134638,Eli Lilly & Company,Breast Cancer Medical Affairs,Matrix Medical Communications - Webinar,300976,399572|BRECMA|EBC|MMC|Matrix Medical Communications - Webinar|2025 Rollover OnDemand Enduring Landing Page 12 months|MS|WA|E|NA|TL|SPT|NA|NA|CON|NA|None|NA|NA|AV|NM|NA|NA,Display- Non Targeted,AGG,Weekly,N/A,Lilly EBC Webinar Landing Page Views
20988-9-140346,AstraZeneca Oncology,Imfinzi GI MATTERHORN HCP,Matrix Medical Communications - Video Conference Coverage,314514,424965|IMFGIMAT|GC|MMC|MMCVCC|2026 asco gi video conference coverage|DB|EM|E|NA|TL|NA|NA|NA|AW|ENL|NA|NA|NA|NA|MAT|NA|NA,e-Newsletters- Targeted/Programmatic,PLD & AGG,Weekly,Opens_unique,ASCO GI Video Conference Coverage eNLs
20988-9-140346,AstraZeneca Oncology,Imfinzi GI MATTERHORN HCP,Matrix Medical Communications - Video Conference Coverage,314517,424969|IMFGIMAT|GC|MMC|MMCVCC|2026 asco gi value add enl|DB|EM|E|NA|TL|NA|NA|NA|AW|ENL|NA|NA|NA|AV|MAT|NA|NA,e-Newsletters- Targeted/Programmatic,PLD & AGG,Weekly,Opens_unique,ASCO GI Video Conference Coverage Wrap-up eNL
21230-9-141645,Eli Lilly & Company,Inluriyo,Matrix Medical Communications - Custom Email,317742,INLUR|BC|MMC|MMCCE|Custom Email|EM|EM|E|NA|TL|NA|NA|NA|AW|NA|None|NA|NA|NA|SOA|NA|NA_ID~434608,Email,PLD & AGG,Weekly,Impressions,Iluriyo Custom Emails
21165-9-142110,Eli Lilly & Company,Preclin.AD Medical Affairs,Matrix Medical Communications - Custom Email,318897,AG~CMI_BD~HCP_MB~Neuroscience_SB~PCADMA_IN~ALZ_SNM~MMC_SVH~MMCCE_CH~EM_COC~NA_CDL~OTHER_PB~NA_OB~AW_S1~DIR_DT~XD_DP~Direct_TG~TL_TG2~TL_DM~None_GE~NTL_D1~NA_IT~NA_CIT~E_CEM~NA_A1~NA_A2~NA_A3~NA_FM~DB_MR~CPE_AS~NA_VF~NA_MA~GM_FF3~Pre Survey eNL_ID~441277,e-Newsletters- Targeted/Programmatic,PLD & AGG,Weekly,Opens_unique,PCAD Pre-survey eNL
21165-9-142110,Eli Lilly & Company,Preclin.AD Medical Affairs,Matrix Medical Communications - Custom Email,318899,AG~CMI_BD~HCP_MB~Neuroscience_SB~PCADMA_IN~ALZ_SNM~MMC_SVH~MMCCE_CH~EM_COC~NA_CDL~OTHER_PB~NA_OB~AW_S1~DIR_DT~XD_DP~Direct_TG~TL_TG2~TL_DM~None_GE~NTL_D1~NA_IT~NA_CIT~E_CEM~NA_A1~NA_A2~NA_A3~NA_FM~DB_MR~CPE_AS~NA_VF~NA_MA~GM_FF3~Post Survey eNL_ID~441276,e-Newsletters- Targeted/Programmatic,PLD & AGG,Weekly,Opens_unique,PCAD Post-survey eNL
21165-9-142110,Eli Lilly & Company,Preclin.AD Medical Affairs,Matrix Medical Communications - Custom Email,318903,AG~CMI_BD~HCP_MB~Neuroscience_SB~PCADMA_IN~ALZ_SNM~MMC_SVH~MMCCE_CH~EM_COC~NA_CDL~OTHER_PB~NA_OB~AW_S1~DIR_DT~XD_DP~Direct_TG~TL_TG2~TL_DM~None_GE~NTL_D1~NA_IT~NA_CIT~E_CEM~NA_A1~NA_A2~NA_A3~NA_FM~DB_MR~CPE_AS~NA_VF~NA_MA~GM_FF3~Unique episode eNLs_ID~441278,e-Newsletters- Targeted/Programmatic,PLD & AGG,Weekly,Asset_start_interactions,New Podcast eNLs
21165-9-142110,Eli Lilly & Company,Preclin.AD Medical Affairs,Matrix Medical Communications - Custom Email,318907,AG~CMI_BD~HCP_MB~Neuroscience_SB~PCADMA_IN~ALZ_SNM~MMC_SVH~MMCCE_CH~EM_COC~NA_CDL~OTHER_PB~NA_OB~AW_S1~DIR_DT~XD_DP~Direct_TG~TL_TG2~TL_DM~None_GE~NTL_D1~NA_IT~NA_CIT~E_CEM~NA_A1~NA_A2~NA_A3~NA_FM~DB_MR~CPE_AS~NA_VF~NA_MA~GM_FF3~Wrap Up eNL AV_ID~441283,e-Newsletters- Targeted/Programmatic,PLD & AGG,Weekly,Opens_unique,PCAD Wrap-up eNL
21165-9-142110,Eli Lilly & Company,Preclin.AD Medical Affairs,Matrix Medical Communications - Custom Email,321639,AG~CMI_BD~HCP_MB~Neuroscience_SB~PCADMA_IN~ALZ_SNM~MMC_SVH~MMCAAP_CH~WA_COC~NA_CDL~NA_PB~NA_OB~AW_S1~DIR_DT~NA_DP~Direct_TG~TL_TG2~NA_DM~None_GE~NTL_D1~NA_IT~NA_CIT~E_CEM~SOA_A1~NA_A2~NA_A3~NA_FM~DB_MR~CPE_AS~NA_VF~NA_MA~GM_FF3~MMLP_ID~446927,e-Newsletters- Targeted/Programmatic,PLD & AGG,Monthly,Page_view,PCAD Podcast Landing Page Views
21682-9-142978,"AbbVie, Inc",Rinvoq AD,Matrix Medical Communications - Expert Perspectives Video Program,320695,442694|RINAD|AD|MMC|MMCEPVP|Expert Perspectives in AD Landing Page|DB|WA|E|NA|TL|NA|NA|NA|AW|SPS|NA|NA|NA|AV|BRD|CS|NA,Display- Non Targeted,AGG,Monthly,Impressions,EP in Atopic Dermatitis Landing Page Views
